Marca temporal,Número de cuenta,"Escribe tu semestre actual (1,2,3,4,5,6,7,8)",Escribe tu carrera,¿Cómo describirías tu situación económica actual como estudiante? ,"¿De dónde provienen principalmente tus ingresos (familia, beca, trabajo, otros)?",¿Qué gastos mensuales te resultan más difíciles de cubrir y por qué?,¿Qué impacto crees que tiene tu situación económica en tu desempeño académico o bienestar personal?,"Si trabajas mientras estudias, ¿Cómo logras equilibrar ambas responsabilidades?","¿Has tenido que renunciar a alguna oportunidad académica (curso, congreso, material, práctica) por motivos económicos? Cuéntanos cuál.","¿Qué sentimientos te genera pensar en tus finanzas personales (ansiedad, tranquilidad, preocupación, indiferencia)? Explica por qué.",¿Qué estrategias utilizas para administrar tu dinero o hacerlo rendir durante el mes?,¿Qué tipo de apoyo económico te gustaría recibir por parte de la universidad o instituciones externas?,"Más allá del dinero, ¿Qué tipo de ayuda crees que te serviría para reducir el estrés económico (por ejemplo: asesorías, talleres, orientación laboral, acceso a herramientas digitales, etc.)?",¿De qué manera crees que una mejor educación financiera podría ayudarte en tu futuro profesional?,¿Cómo imaginas tu situación económica ideal dentro de cinco años y qué estás haciendo para acercarte a ella?,¿En qué momentos del semestre sientes mayor presión económica y por qué crees que ocurre eso?,"Cuando te enfrentas a un gasto inesperado o a una dificultad económica, ¿Cuáles son los pasos que sigues o a quién sueles recurrir?","¿Has recibido algún tipo de orientación o capacitación sobre manejo del dinero dentro de la universidad? Si no, ¿te gustaría que la hubiera?","Si pudieras dar un consejo a otros estudiantes sobre cómo sobrellevar los retos económicos, ¿Cuál sería?"
10/7/2025 8:26:19,423122349,7,Mac ,Mi situación actual es estable. ,Trabajo,"solo sería el transporte, ya que depende que tanto me esté trasladando. ",Ninguno. ,Tratar de hacer mitad de ambas cosas en buenos horarios. ,"Ninguna, todo bien. ","Solo preocupación, ya que no sé qué tanto afecte a largo plazo. ",Gastar menos en lo posible. ,De la universidad. ,"Solo talleres, lo veo ideal. ",Ayudaría bastante. ,Probablemente siga siendo estable. ,Cuando son finales de semestre. ,"Tratar de hacer lo posible, gastar menos. ",Si he recibido. ,Consideren buenas estrategias financieras. 
10/7/2025 8:27:47,422055662,7,mac,buena,familia,ninguno,muy alto,no trabajo,no,"tranquilidad, porque no es algo que me importe mucho",gastar solo en lo necesario,becas,"asesorias, orientacion laboral",en el crecimiento de mi patrimonio,"buena, trabajando","al inicio, ya que tengo que acoplarme a la vida foranea",recurro a mi papa,no,no se
10/7/2025 8:32:26,318331674,7,Matematicas Aplicadas y Computacion,Regular,"familia, trabajo","transporte, comida y renta, mensualmente es una gran suma para mi poco presupuesto","bastante, es una traquilidd necesaria",organizo mis tiempos y equilibro responsabilidades,"si, trabajos de becaria y servicios sociales. el tema es el transporte y el tiempo",preocupacion y ansiedad. el no saber si llegare a fin de semana con lo necesario para mis transportes de la escuela,"trato de traer de omer de mi casa, no comprar dulces o cigarros y poner una meta de ahorro diaria",becas mensuales o bimestrales,talleres y asesorias,"bastante, saber controlar el dinero es parte de la vida diaria","bastante tranquila, estoy preparando profesionalmente","en todo el semestre, es la necesidad de llegar a la clase, porque no se puede faltar a una por cuestiones de temas importantes",a mis papas o a mercado paago,"no, si","evitar los gastos horiga, como dulces, refrescos, cigarros y ponerse una meta de ahorro diaria"
10/7/2025 8:33:38,421101429,7,MAC,Regular ,Familia,El de mis comidas de lunch,Muy buen impacto ,No trabajo ,Ninguno ,Tranquilidad porque no me da ansiedad ,Trato de gastar lo necesario ,Becas,Asesorias ,Para saber cómo gastar mis ingresos de una manera inteligente ,Estable y para llegar a ello trato de echarle ganas a la escuela ,No me ha pasado ,A mis papás ,Aún no y si me gastaría ,Buscas asesorías 
10/7/2025 8:35:13,423086812,7,Mac,Buena ,Familia ,Despensa ya que al tener una dieta me piden algunos ingredientes caros ,Alto,No trabajo ,No,Ansiedad ya que avanzando el mes el presupuesto se ajusta ,Planificar las compras para hacerlo rendir ,Apoyo financiero para estudiantes foráneos,Acceso a herramientas digitales ,Planificar un plan de ahorro para inversiones y que el dinero ahorrado no se devalúe ,Estable financieramente y lo que hago es invertir poco a poco,4 por qué algunas materias te piden materiales para la clase,Primero hago una estimación de mi presupuesto semanal y con eso ajusto viendo productos que pueda evitar ,No y si me gustaría ,Ahorrar y no vivir al límite para que no te falte el dinero
10/7/2025 8:37:33,423058831,7,mac,buena,familia y beca ,mis pagos mensuales no los cubro yo,alto impacto ,no trabajo ,no,indiferencia ,ahorrar e invertir ,beca ,orientación laboral ,para administrar de manera correcta mi dinero ,"me preparó para un futuro laboral estudiando lo que necesito saber, yo creo que mi situación económica será buena ","al final, porque gasto mucho",a mis papás ,"no, me encantaría ",que aprendan a ahorrar 
10/7/2025 8:37:47,422091501,7,MAC,bein,Familia,ninguno,ninguno,ta kbron,creo que no,preocupacion,Administro bien el money,"$100,000 pesos",talleres,a administrar el dinero,tener trabajo y esforzandome a mejorar cada dia,"ultimos, porque ya vas para afuera",es importante? si no lo hago o no,"no, y tampoco, ya le se a ese pedo","mantengan claras sus prioridades, no gasten en mamadas"
10/7/2025 8:39:14,320584622,7,mac,buena ,familia ,mis gustos ,ninguna,le doy prioridad al trabajo ,no,"ansiedad, quiero cada vez mas dinero ",lo meto a un fondo de inversión en NU,beca de manutención,asesorías ,en como saber invertir ,"muy buena, trabajando en lo que me gusta  ",en ninguna,ir con mi familia ,si,no gastar en alcohol 
10/7/2025 8:44:26,422042730,7,MAC,Mala,Familia ,"Ninguno, porque yo no lo pago",Mucho ,No trabajo,No ,Ansiedad por que gasto mucho ,Ver que gastos son importantes y cuales no ,Pues dinero ,Cursos ,Pues para muchos puede ser un factor entre que vengan a la escuela o no ,"Mejor, trabajar ",Ninguno ,Con mis papás ,"No, si me gustaría ",Administrarse bien
10/7/2025 8:45:58,423072275,7,MAC,estable,familia,comidas por que en la facultad es muy caro,a veces me siento mal físicamente,no trabajo,"si, idioma",ansiedad,utilizar una aplicación para administrar,beca,"talleres, orientación laboral",saber no malgastar el dinero,"estable, administro mi dinero de manera correcta",nunca,siempre tengo dinero guardado para alguna urgencia,"no, me gustaría que hubiera",ahorren
10/7/2025 8:47:13,320241697,7,MAC,Regular,Becas,"El transporte y la comida, pues son cosas continuas que no puedes sobrevivir sin ello","Si afecta directamente, pues si no tuviese ingreso no podría ir a la escuela","No, no trabajo",No,"Me es indiferente, pues cubro lo necesario",Suelo gastar solo en lo necesario y mantener un ahorro,Tal vez que se apoye mas en las becas,Una orientación Laboral,A administrar mi dinero,"Buena, creo que todos los que estamos en la carrera queremos salir adelante y esperamos un salario estable","Creo que la presión es uniforme, no hay algún momento en que me sienta mas presionado","Como suelo ahorrar, no es algo que me preocupe, nunca he tenido un gasto mas allá de mi ahorro, suelo prevenirme con eso","No jamás, pero estaría bien, si me gustaria","No gastar en cosas innecesarios, siempre preguntarse si lo necesito o no, después preguntarse si en verdad lo quiero o solo es un capricho más"
10/7/2025 8:53:27,320212619,7,MAC,"Es normal, puesto que no tengo ingresos.",beca,"No, porque suelo distribuir bien el dinero.","Poco, ya que si mi situación económica fuera mejor, tendría todas las herramientas necesarias.",No trabajo solo estudio,No.,Preocupación porque me a veces solo pienso en los gastos y sus repercusiones.,Dar prioridad a los gastos de la escuela.,alguna beca,asesorias y talleres,Para evitar gastos innecesarios.,Pienso que seria una situacion economica estable y es por ello que ahorita me concentro en aprender habilidades para un buen trabajo.,"Al final, porque el dinero ahorrado comienza a terminarse.",Usar solo el dinero necesario para enfrentar ese gasto.,No y si me gustaría.,Piensen primero en la escuela y despues las cosas que no necesitan.
10/7/2025 8:53:38,319132948,7,MAC,Buena,Familia,Ninguno,mucho impacto ,No trabajo,No,Ansiedad,Ninguna,Una beca,Orientación laboral,A gestionar mejor mis finanzas y planes a futuro ,"Buena, estudiando",En ninguno,a mi mamá ,"No, pero si me gustaría ",Ahorrar 
10/7/2025 8:55:09,317259913,"5, 7",MAC,Regular,"Familia, trabajo","La gasolina, está muy cara :(","Mucho, te puede abrir o restringir muchas cosas",Estudio entre semana y trabajo fines así que no hay mucho problema,No,"Un poco de todo, felicidad cuando tengo, tristeza cuando no",Repartirlo al inicio de la semana y tener todo presupuestado,Apoyo para el transporte o para algunos materiales,Talleres acerca del mundo laboral y como acercarnos a el,Diría que es una de las partes fundamentales de un buen desarrollo profesional,Tener un sueldo mensual bueno para poder seguir creciendo y estoy aprendiendo las herramientas necesarias para hacerlo,"Todas las semanas los lunes, porque tengo el dinero de la semana y luego se me pasa la mano",Tengo varios amigos con los que suelo intercambiar préstamos y nos ayudamos mutuamente,"No, obviamente debe de haber",Aprender a manejarlos con consejos y tu mismo vas a darte cuenta de todas las ventajas
10/7/2025 8:56:51,319249473,7,MAC,Pues tengo pocos recursos para lo mucho que gasto,Familia y becas,"En general la comida, suelo gastar mucho en eso.","Tiene un poco de impacto, realmente no tanto, pero a veces me genera estrés",Se tendría que tener mucha disciplina y una buena gestión de tiempo para poder cubrir las necesidades que requieren ambas actividades,No,"Me genera algo de ansiedad y estrés, mas que nada porque ya siento la presión de trabajar para cubrir todos mis gastos ","Lo divido entre ms gastos fijos (comida y transporte), tengo un poco para algún gasto inesperado y lo demás para cualquier gasto hormiga",Becas,La orientación laboral y talleres ayudaría a tener herramientas para reducir el estrés  ,Me ayudaría a administrarme y a poder invertir mejor mi dinero,Imagino que tendré una buena solvencia económica y estoy tomando cursos de finanzas e inversiones para aprender a manejar bien mi dinero. ,Creo que en ningún momento,"Suelo usar mi dinero que tengo apartado para esos casos, si no es suficiente suelo pedirle dinero a mis padres o amigos. ","Pues apenas tengo algo de orientación, con las materias optativas",Que tomen cursos sobre finanzas para aprender a lidiar con su economía. 
10/7/2025 8:59:29,423112418,7,MAC,buena,familia,comida,ninguno,no trabajo,no,preocupación porque aun no trabajp,no gastar ,becas,actividades recreativas,a saber invertir,trabajando y estable,no sé,a mis padres,no,no te estreses
10/7/2025 9:18:19,422058560,7,Matemáticas Aplicadas y Computación ,Suficiente,Familia ,Comida. Porque normalmente son las más caras pero no siempre son ricas,Mucho impacto,Tratando de organizarme mejor,No,Preocupación,Organizar los gastos,Becas ,Orientación laboral,Para poder administrar mejor mis ingresos,"Mi situación económica es mejor, y estoy tomando cursos que me ayuden a eso","A mediados y finales de semestre, supongo que es porque es cuando mayor carga de trabajo hay",Trato de ver mis ahorros y gestionar mis gastos mejor,"No, pero si me gustaría que hubiera ",Que prioricen sus necesidades básicas
10/7/2025 9:19:02,319295717,"9, cursando 7",MAC,Dependiendo de padre y madre desempleados,De mi padre anteriormente ,No manejo el dinero de mi familia ,"Necesito dinero para transporte, fuera de eso no impacta",No trabajo ,No,Indiferencia porque se que en el futuro cuando tenga mi dinero lo manejaré precisamente y por cada centavo ,No manejo dinero ,Becas,No tengo estrés económico ,Manejar mejor el dinero(?,Trabajando en Nintendo con un salario alto que me permita comprar casas y tener buen sustento ,En ningún momento ,Actualmente no tenemos ingresos así que estamos usando los ahorros de años,"No, no me interesaría ",Ahorren 👍
10/7/2025 9:29:03,422128685,9,Mac,Regular ,Familia ,Depende del mes ,"Bien, no hay que ser exigentes ",No entregando tareas ,No ,"Yo no tengo finanzas personales, todo me lo brindan mis padres ","Yo no administro, me dan dinero por día ",Chamba bien pagada ,"No tengo estrés por eso, vives con lo que tienes ","Pues a no gastarlo a lo menso, como en juguetes o videojuegos ",Depende de muchas cosas ,En ninguna aún ,Por suerte no e tenido un problema económico y si lo tuviera trabajaria un momento,No ,Trabaja 
10/7/2025 9:31:31,423008623,7,mac,buena,familia,comida porque esta caro en la escuela comer,en las comidas para poder comer bien,dandole tiempo a cada una,si,ansiedad por no tener dinero,si,beca,dinero,para el estudio,buena,a mediados ,a mis papas,si,si
10/7/2025 9:46:45,320137833,7,Matemáticas Aplicadas y Computación,Aceptable,Familia y becas,"Gastos en comida, la comida en la escuela es algo cara","Tiene un buen impacto, no tengo problemas en cubrir gastos de la carrera",No trabajo,No,"Me genera algo de ansiedad y preocupación, porque tengo poco conocimiento sobre educación financiera","Dividirlo entre gastos necesarios, gastos imprevistos y la parte restante para cualquier cosa",Beca,Asesorías y orientación laboral,En una mejor administración del dinero,"Tener un sueldo suficiente para los gastos necesarios, emergencias y actividades recreativas, actualmente estoy estudiando y apoyándome con compañeros.","A finales del semestre, debido a gastos que surgen para poder realizar los proyectos que se nos solicitan","Suelo recurrir al dinero que he guardado para estas situaciones, en caso de no ser suficiente, recurro a familiares o amigos","No, tengo conocimiento de que hay talleres para esto",Tener una buena administración del dinero y no tener gastos innecesarios
10/7/2025 10:07:31,320246324,7,Matemáticas Aplicadas y Computación,Regular,Familia,El transporte,No tiene impacto,No trabajo,"Sí, un curso de matemáticas","Preocupación, por si tenemos que hacer ajustes en las compras",No gastar en cosas innecesarias,Becas,Tener talleres de orientación laboral ,A poder planear mejor los gastos que se hagan,"Me imagino una situación económica estable, lo que hago es tratar de informarme sobre las buenas prácticas en la contabilidad ",No he sentido presión económica en algún semestre,Recurro al ahorro que tengo en caso de emergencias ,"No he recibido, pero si me gustaría que la hubiera","Tratar de ahorrar aunque sea un poco, si es posible, para posibles emergencias "
10/7/2025 10:49:24,316219231,7,MAC,Buena,Familia y ahorros ,El transporte ya que es un gasto diario ,"En todos los aspectos, ya que si fuera una situación precaria no tendría oportunidad de transportarme, comer o conseguir materiales didácticas o herramientas ",Cada responsabilidad tendría que ser realizada durante su respectivo horario y todo horario de descanso estaría dedicado al estudio ,Ninguna ,"Preocupacion, ya que actualmente nuestro futuro se planta para trabajar diario, sin ningún programa de apoyo ","Diferenciar las necesidad básicas y las que no lo son, después pondero las básicas ",Ninguna ,"Orientación laboral, asesoramiento en finanzas y derechos laborales ",Administrando y conociendo formas de ganar dinero de forma pasiva ,"Con un sueldo de $50,000 mensuales, actualmente tomo cursos y me preparo para certificaciones en el área que espero trabajar",Afortunadamente nunca he sentido presión económica,Lo tomo de mis ahorros ,"No, pero me encantaría que hubiera cursos sobre inversiónes actuales ","Buscar las habilidades que mejor tienen, explotarlas y tratar de venderse con ellas "
10/7/2025 11:41:35,320200320,7,MAC,buena ,familia ,el pasaje porque son de becas. ,medio ,organizando mis tiempos ,no,"preocupación, por no alcanzar la quincena. ",cortar gastos,alguna beca buena de alimentación ,talleres y acceso a herramientas digitales,para conseguir contactos ,"con un lugar donde vivir, lo que hago es estudiar y trabajar arduamente ",hasta el momento es parejo ,acortar gastos ,"no, si me gustaría que hubiera ","no malgastar dinero, y saberlo ocupar en lo necesario "
10/7/2025 15:30:41,423093814,7,Matemáticas Aplicadas y Computación,Regular,Familiar,Cosa extras para la escuela,Bastante,.,No,"Preocupación, no sé si en algún momento deje de asistir",Gastar lo mínimo,Beca u alguna oportunidad de trabajo,Orientación laboral y orientación financiera,Poder organizar mi gastos,De momento no imagino algo parecido,.,Suelo recurrir a uno de mis hermanos,"No, sería interesante que la universidad lo contemplara",No lo sé
10/7/2025 15:56:12,319688531,7,MAC,buena,familia y trabajo,transporte porque se gasta mucho en transporte diario y comida porque está muy cara en la FES,"Talvez como me quedo con hambre , me desconcentro y solo pienso que tengo que comer algo","Primero la escuela , después el trabajo y en la noche hago mi pendientes",no nunca,ansiedad porque no se si me va a alcanzar para todo ,"camino desde el puente de Echegaray, me traigo de la comida de mi casa","Becas o un comedor para todos, de comida que nos de la escuela",talleres,Para saber ahorra y a lo mejor invertir eso y generar mas ganancias,"Pues ya trabajando y con fondos de inversión, lo que hago es ahorrar desde ahora y meter mi dinero a tarjetas que me den rendimiento",pues siempre para el transporte,A mi familia y suelo tratar de gastar lo menos posible para tener para todo,no pero me gustaria,Caminar lo más posible y traer comida de su casa o a lo mejor vender algo
10/7/2025 16:19:17,422044459,Séptimo ,Mac,Complicada ,Familia y trabajos ,Lo que son mis transportes,"No tendria que ver mucho, pero el tiempo que gasto en llegar a un lado a otro",Trataría de encontrar un equilibrio entre ambas,"Si, a cursos los cuales necesitan una cuota",Ansiedad porque puede que tenga algún gasto y deba limitar algo,Tenerlo en apartados,Una beca,No lo veo necesario ,No tengo la menor idea,Facturando muchoooo,A finales por el apoyo a los trabajos finales,Organizar mis gastos,"No, y si me gustaria",Siempre hagan un apartado de cosas necesarias
10/7/2025 17:42:38,423096303,7,Matemáticas Aplicadas y Computación ,Mala,"Trabajo, familia, beca",Comidas,Creo que  es muy importante ya que una buena alimentación y casa dan motivación para mejorar en ambas áreas.,Administrando bien mi tiempo y mi energía.,no,"Ansiedad, preocupación.",Gastar en lo escencial y guardar para lo extra,Más dinero en las becas que otorgan.,Herramientas digitales.,Estabilidad económica.,"Buena, actualmente ya  empece en el campo laboral, a pesar de faltarme un año de la carrera.",A mediados del semestre porque es cuando más dinero siento que gasto.,Pedir ayuda a mi familia.,"No, si me gustaría que la hubiera.","Administración en el dinero, no gastes más de lo que puedes pagar.."
10/7/2025 18:21:36,423076967,7,MAC,Media,Familia,Los pasajes,Me afecta por que me es cansado venir en transporte ,Organizándome correctamente ,No,"Ansiedad, por que me frustra no poder solventar mis gastos yo sola",Elaboró un presupuesto para planificar mis gastos,Becas,Asesorías de calidad,Me ayudaría a llevar mejor mis gastos personales,Me encantaría estar al menos estable y estoy empezando a trabajar desde ahora,Al iniciarlo por que algunos profesores piden materiales nuevos,Priorizar el pago más necesario hasta el menor necesario ,"No, si me gustaria",Siempre prioriza el gasto más esencial 
10/7/2025 19:12:14,421119143,7,MAC,Bien,Familia,"Medicamentos, caros",Media,No trabajo ,No,Preocupación ,Administración de gastos,Beca,Talleres,,Mejor,Final de año,Familia ,Si,Usar bien el crédito 
